"","Subject","Image","Threatened_Rating","Surprise_Rating","Suffering_Rating","SociallyAcceptable_Rating","Sadness_Rating","Relate_Rating","Pleasant_Rating","Narrative_Rating","Joy_Rating","Interact_Rating","Immoral_Rating","Fear_Rating","Disgust_Rating","Desire_Rating","Contamination_Rating","Avoid_Rating","Astonished_Rating","Anger_Rating","Affection_Rating"
"1","sub-sid000874","AA-9181.jpg",52.19340327,76.50470261,92.80534582,23.3870889,42.47838641,86.5039676,-4.531288338,64.43947967,47.72938791,82.5185944,42.31293045,68.96415176,47.87853247,43.1705221,101.1640531,32.28222086,2.32287606,21.59525959,20.51869846
"2","sub-sid000873","AA-9181.jpg",42.53416403,83.79049966,90.13210043,14.19152044,24.13414671,81.3452752,13.03526388,40.26593813,56.43659911,78.80685669,68.61546691,6.738349143,18.68734742,59.03494155,43.06079036,53.79018435,3.347982407,0.485115,57.30849985
"3","sub-sid000888","AA-9181.jpg",59.61044294,68.57859782,91.69700975,17.51705494,47.78117509,92.9483131,5.627717073,57.14206762,80.55513938,89.12918992,95.71541864,44.95360278,25.6737966,83.70981575,62.5432368,66.21526196,7.726019399,5.770569205,27.2967575
"4","sub-sid000877","AA-9181.jpg",19.66272993,99.3397655,68.20688181,25.5131135,32.65692857,71.87135864,6.0246713,73.01522445,42.99650552,94.41635552,87.58927055,71.90464547,4.167072526,70.55773166,66.54173048,39.83428169,8.463018197,22.84292184,63.26503258
"5","sub-sid000972","AA-9181.jpg",54.3919686,75.13774893,99.95797645,6.003307225,53.98600939,80.03173442,12.79698547,59.63482058,79.23124305,63.90726509,79.5246404,62.60357036,34.1728641,57.8082925,70.94420028,79.03342962,11.99490966,15.26486005,52.67545289
"6","sub-sid000894","AA-9181.jpg",63.50121375,98.26723159,54.79416337,43.35421747,39.11683377,88.79606359,13.41969348,55.87596027,96.69640421,75.07931398,64.6548011,49.07251102,8.072189682,25.55968984,64.79042858,57.47303084,10.65724645,15.15548197,68.53715448
"7","sub-sid000893","AA-9181.jpg",14.13569298,70.73282066,101.8874222,1.382687783,14.70270606,68.28163317,-2.079293392,62.71860021,77.02009544,81.96843598,99.74035989,0.145066989,1.54579464,58.36279704,99.32973614,48.03273346,1.06791664,1.065077358,4.344475487
"8","sub-sid000926","AA-9181.jpg",43.85550423,51.5397151,88.04450758,15.9282945,24.88205455,73.35859909,8.067132734,65.50033765,63.58870452,79.54467775,50.44140991,39.51457612,22.79787667,45.13281653,50.2192652,61.74924546,5.235757511,23.31493083,40.8260905
"9","sub-sid000971","AA-9181.jpg",55.42417256,76.80403364,85.04262205,17.15650886,40.32432022,70.08061917,4.549005389,82.85457322,71.79945704,78.14795353,56.56458285,45.05381073,9.759489862,81.62501097,71.9052348,77.08328109,3.463459193,12.87355879,56.54780631
"10","sub-sid000120","AA-9181.jpg",54.5207079,73.81395774,80.49631547,14.91388088,47.25837701,75.10829871,6.235719427,25.77985362,57.03373485,78.6631259,71.57041446,39.48815458,-0.291059459,63.65411528,76.25168375,44.18503799,6.259382242,17.02209451,58.59637914
"11","sub-sid000976","AA-9181.jpg",30.51839854,87.11760517,69.02753444,16.79757762,19.51679129,82.70887245,5.736341963,60.53332832,47.08612635,79.08880079,58.44892669,71.6226127,24.7522927,40.1278088,89.5273592,29.26735309,-8.240604481,1.989960621,-0.052725435
"12","sub-sid000922","AA-9181.jpg",46.11501283,67.58719521,66.22193161,16.39229697,47.58288199,70.69224757,12.52261173,42.85126083,54.45836631,49.82602273,43.93923926,65.64901075,25.24239205,60.91652685,66.73548817,58.5044244,16.7388395,29.35117722,69.20316871
"13","sub-sid000954","AA-9181.jpg",51.8397537,100.0716647,98.48413344,16.41374683,47.78341653,111.7361813,-5.527466661,80.46685649,42.67713936,99.96718263,96.76888474,14.99100628,1.109552122,97.86111448,105.8197657,102.6989774,9.025412872,16.97947597,98.96835526
"14","sub-sid000866","AA-9181.jpg",58.39671884,79.8069411,78.67709747,25.25024883,26.25843122,90.29678068,10.86651264,47.49104841,65.6053522,64.21303321,44.97500519,53.36019925,5.440084139,55.00176106,82.84868597,67.99153236,14.14685859,20.71667987,92.40278844
"15","sub-sid000878","AA-9181.jpg",10.28549368,84.98949017,88.6076024,2.344446868,10.33636939,86.80119785,3.910887337,98.10223065,66.27723991,69.56021044,73.58677363,44.20730863,0.838184751,39.08403729,76.50112271,36.79894107,5.212154479,0.788187473,26.45637238
"16","sub-sid000889","AA-9181.jpg",89.72295114,71.8034534,92.42490103,6.902600256,65.39256018,75.32762694,1.723245131,87.73421262,81.42863092,96.18406962,46.9005289,81.13140021,17.55104186,80.00991387,83.94487915,93.15567297,-2.582491254,15.78771907,27.66519909
"17","sub-sid000880","AA-9181.jpg",7.641379066,70.66153337,78.74974617,13.12041786,35.17495577,65.88087452,0.594496525,67.69862829,81.23347323,99.04161294,71.1527799,49.87717472,11.7677096,56.15886092,47.38773857,60.67842268,0.981665139,-4.381516012,22.37322049
"18","sub-sid000973","AA-9181.jpg",61.69263115,88.44592192,94.13709883,21.84252605,20.28757771,87.53359451,9.223696789,64.58162548,81.32457184,86.37892469,56.11649234,81.33047421,-1.68422739,53.97813193,79.1392859,69.69646418,10.97842284,0.106248601,65.12366233
"19","sub-sid000765","AA-9181.jpg",52.53439098,93.51906974,93.49223491,0.197723147,71.15249304,99.58155385,-2.200960066,86.10229435,61.15985825,89.59524748,92.3706766,2.544351251,0.250189495,97.35663522,111.2423569,52.1679645,-0.227965943,-2.809651194,72.30217038
"20","sub-sid000499","AA-9181.jpg",84.10981226,79.48728157,104.3419437,22.67168681,0.235734563,91.91022488,-0.355309131,19.02796301,-2.301676453,88.71380097,100.3015472,-0.042587786,14.35862928,88.22089008,96.83845827,99.54265406,2.372781437,2.014926996,100.0340927
"21","sub-sid000879","AA-9181.jpg",49.55991698,69.52405039,63.2834886,34.26294327,41.46305959,60.23469503,22.2932103,50.50596774,49.44999743,58.17478621,66.04631811,31.19765764,34.33793042,48.21009344,42.3746301,48.4520854,25.37243185,22.84304017,57.01989351
"22","sub-sid000013","AA-9181.jpg",47.53900287,53.03171032,83.41460466,23.61045611,31.62533408,57.07239712,8.761982985,54.6517758,66.93924593,72.28644768,90.13708213,48.05068283,47.11594822,47.43188417,71.99019153,44.46569867,4.184368485,0.967396488,71.13286933
"23","sub-sid000955","AA-9181.jpg",67.93309705,83.80757561,80.18949827,27.74364886,52.32625456,80.77861357,7.930859531,45.44643257,78.14803955,63.02363797,73.64389189,29.59410396,24.44501009,58.74536113,87.60424834,83.07719525,1.224894989,3.688451875,69.00508697
"24","sub-sid000876","AA-9181.jpg",40.82136092,61.81636828,83.73059153,1.005907535,27.98991287,100.1195061,3.664252638,59.59884889,96.13135691,97.75283762,62.54354499,58.18483843,1.968557055,85.96415235,88.1815604,75.20250282,2.911591997,14.0309658,84.30242271
"25","sub-sid000710","AA-9181.jpg",61.87522861,74.59051999,81.60184163,2.714702634,-0.326470337,85.00585523,4.582518715,44.6073963,80.7309781,88.33081189,93.74441095,1.532055926,16.34327634,84.46424921,70.30144574,89.96225632,3.268486696,8.717739466,40.21960926
