ROI,Anatomical_label,One_sample_mean_ISS,One_sample_p,One_sample_FDR_q,Two_sample_mean_diff_pos_minus_neg,Two_sample_p,Two_sample_FDR_q,Two_sample_FDR_significant
0,"Cingulate Gyrus, anterior division",0.0167713184761515,0.0001999600079984,0.0001999600079984,-0.0122559196071886,0.001999600079984,0.003999200159968,True
1,Precuneous Cortex,0.1617563660528123,0.0001999600079984,0.0001999600079984,-0.0583599206672202,0.0001999600079984,0.0007141428857085713,True
2,Frontal Pole,0.0176097279509748,0.0001999600079984,0.0001999600079984,-0.0124221544464891,0.0001999600079984,0.0007141428857085713,True
3,Precentral Gyrus,0.0196153098692286,0.0001999600079984,0.0001999600079984,-0.0063807545989834,0.0949810037992401,0.11307262357052393,False
4,Occipital Pole,0.216362830487789,0.0001999600079984,0.0001999600079984,-0.0233728449457837,0.0051989602079584,0.008664933679930667,True
5,"Middle Temporal Gyrus, temporooccipital part",0.0461019066499255,0.0001999600079984,0.0001999600079984,-0.0027306509302936,0.7068586282743451,0.7068586282743451,False
6,Precuneous Cortex,0.0238841450142235,0.0001999600079984,0.0001999600079984,-0.0114186655278412,0.002999400119976,0.005356071642814286,True
7,Brain-Stem,0.0282820598216535,0.0001999600079984,0.0001999600079984,-0.0134955500189608,0.0013997200559888,0.003042869686932174,True
8,Precentral Gyrus,0.01431850525523,0.0001999600079984,0.0001999600079984,-0.0024035515592373,0.4213157368526294,0.42991401719656064,False
9,Precentral Gyrus,0.0286062498096992,0.0001999600079984,0.0001999600079984,-0.0116179564094454,0.0249950009998,0.03204487307666667,True
10,Lingual Gyrus,0.1675168400892422,0.0001999600079984,0.0001999600079984,-0.0510077518134136,0.0001999600079984,0.0007141428857085713,True
11,Temporal Occipital Fusiform Cortex,0.1575119064566678,0.0001999600079984,0.0001999600079984,-0.0205665943609303,0.0017996400719856,0.00374925014997,True
12,"Parahippocampal Gyrus, anterior division",0.0142378997129855,0.0001999600079984,0.0001999600079984,-0.0032897779026262,0.2385522895420916,0.25377903142775704,False
13,"Superior Temporal Gyrus, posterior division",0.0240850483935321,0.0001999600079984,0.0001999600079984,-0.0111529271431956,0.005998800239952,0.009675484257987097,True
14,Frontal Orbital Cortex,0.0320108415742087,0.0001999600079984,0.0001999600079984,-0.0131437937687046,0.0001999600079984,0.0007141428857085713,True
15,"Supramarginal Gyrus, anterior division",0.0264026825023161,0.0001999600079984,0.0001999600079984,-0.0152934049450223,0.0075984803039392,0.011872625474904999,True
16,Insular Cortex,0.0193530305358623,0.0001999600079984,0.0001999600079984,-0.007515648437695,0.0415916816636672,0.051989602079584,False
17,Left Putamen,0.0057030779670539,0.0001999600079984,0.0001999600079984,-0.0024999299233813,0.2479504099180164,0.25828167699793375,False
18,Frontal Operculum Cortex,0.013375460773804,0.0001999600079984,0.0001999600079984,-0.0095208954852348,0.0223955208958208,0.02946779065239579,True
19,"Lateral Occipital Cortex, superior division",0.0435002283612177,0.0001999600079984,0.0001999600079984,-0.0184563944956827,0.0027994401119776,0.005184148355514074,True
20,"Lateral Occipital Cortex, inferior division",0.214513316116799,0.0001999600079984,0.0001999600079984,-0.0471685848894705,0.0001999600079984,0.0007141428857085713,True
21,"Lateral Occipital Cortex, superior division",0.09041112453727,0.0001999600079984,0.0001999600079984,-0.0383932712449955,0.0001999600079984,0.0007141428857085713,True
22,Paracingulate Gyrus,0.0157560010224303,0.0001999600079984,0.0001999600079984,-0.0044025775282158,0.1547690461907618,0.16822722412039323,False
23,Middle Frontal Gyrus,0.0386268658195794,0.0001999600079984,0.0001999600079984,-0.0246174942936603,0.0001999600079984,0.0007141428857085713,True
24,Lingual Gyrus,0.0909968337373037,0.0001999600079984,0.0001999600079984,-0.0195715921208939,0.0001999600079984,0.0007141428857085713,True
25,Frontal Pole,0.0424295575758082,0.0001999600079984,0.0001999600079984,-0.0347769460083795,0.0001999600079984,0.0007141428857085713,True
26,Postcentral Gyrus,0.0091890919037323,0.0001999600079984,0.0001999600079984,-0.0054198494386764,0.1147770445910817,0.13346167975707177,False
27,Precentral Gyrus,0.0564492364139848,0.0001999600079984,0.0001999600079984,-0.0322872607919442,0.0001999600079984,0.0007141428857085713,True
28,"Parahippocampal Gyrus, posterior division",0.0435762450192771,0.0001999600079984,0.0001999600079984,-0.010797300584188,0.0081983603279344,0.01242175807262788,True
29,Right Caudate,0.009709482627821,0.0001999600079984,0.0001999600079984,-0.0067607245939206,0.0611877624475105,0.07461922249696402,False
30,Superior Frontal Gyrus,0.0368133582877662,0.0001999600079984,0.0001999600079984,-0.0159311819264361,0.000999800039992,0.0022722728181636363,True
31,"Inferior Temporal Gyrus, temporooccipital part",0.1448659322864976,0.0001999600079984,0.0001999600079984,-0.0468816805865001,0.0003999200159968,0.0011108889333244444,True
32,Paracingulate Gyrus,0.0211358843163994,0.0001999600079984,0.0001999600079984,-0.0151560873697031,0.0001999600079984,0.0007141428857085713,True
33,Angular Gyrus,0.0340410807002865,0.0001999600079984,0.0001999600079984,-0.0266681492215506,0.0001999600079984,0.0007141428857085713,True
34,Left Putamen,0.0156342950396628,0.0001999600079984,0.0001999600079984,-0.0128029784225672,0.0005998800239952,0.001499700059988,True
35,Planum Temporale,0.0097758479475346,0.0001999600079984,0.0001999600079984,-0.0064635431723156,0.0173965206958608,0.023508811751163247,True
36,Superior Parietal Lobule,0.0693169774251314,0.0001999600079984,0.0001999600079984,-0.0337591997614924,0.0003999200159968,0.0011108889333244444,True
37,Frontal Orbital Cortex,0.0082481670141215,0.0001999600079984,0.0001999600079984,-0.0065615027408225,0.0045990801839632,0.007929448593040001,True
38,"Lateral Occipital Cortex, superior division",0.1588779941365781,0.0001999600079984,0.0001999600079984,-0.060988225888286,0.0001999600079984,0.0007141428857085713,True
39,Left Thalamus,0.0118404066988936,0.0001999600079984,0.0001999600079984,-0.0064555231143809,0.1311737652469506,0.14906109687153477,False
40,Precentral Gyrus,0.0255086053913654,0.0001999600079984,0.0001999600079984,-0.0088007279659797,0.008998200359928,0.013232647588129412,True
41,Left Cerebral Cortex ,0.1024711175668981,0.0001999600079984,0.0001999600079984,-0.0212796805940958,0.0007998400319936,0.0019043810285561905,True
42,"Lateral Occipital Cortex, superior division",0.0783477161589117,0.0001999600079984,0.0001999600079984,-0.0440030557293215,0.0001999600079984,0.0007141428857085713,True
43,Occipital Pole,0.134205936582176,0.0001999600079984,0.0001999600079984,-0.0239815317303783,0.0103979204159168,0.014854172022738288,True
44,Frontal Pole,0.0128593574831117,0.0001999600079984,0.0001999600079984,-0.010313983996594,0.0003999200159968,0.0011108889333244444,True
45,"Inferior Frontal Gyrus, pars triangularis",0.0238874208839768,0.0001999600079984,0.0001999600079984,-0.0116890860658759,0.0027994401119776,0.005184148355514074,True
46,"Lateral Occipital Cortex, inferior division",0.1102152453212526,0.0001999600079984,0.0001999600079984,-0.0116520620609678,0.1419716056788642,0.15774622853207132,False
47,Postcentral Gyrus,0.0108889484442601,0.0001999600079984,0.0001999600079984,-0.0081313778755319,0.011997600479904,0.016663333999866668,True
