ROI,mean_diff_pos_minus_neg,p,MNI_centroid,label
38,-0.060988225888286,0.0001999600079984,"(3, -77, 29)","Lateral Occipital Cortex, superior division (85% of voxels)"
1,-0.0583599206672202,0.0001999600079984,"(0, -46, -5)",Precuneous Cortex (18% of voxels)
10,-0.0510077518134136,0.0001999600079984,"(1, -57, -18)",Lingual Gyrus (6% of voxels)
20,-0.0471685848894705,0.0001999600079984,"(2, -80, 3)","Lateral Occipital Cortex, inferior division (19% of voxels)"
31,-0.0468816805865001,0.0003999200159968,"(-23, -56, -9)","Inferior Temporal Gyrus, temporooccipital part (36% of voxels)"
42,-0.0440030557293215,0.0001999600079984,"(0, -59, 44)","Lateral Occipital Cortex, superior division (52% of voxels)"
21,-0.0383932712449955,0.0001999600079984,"(1, -67, 55)","Lateral Occipital Cortex, superior division (78% of voxels)"
25,-0.0347769460083795,0.0001999600079984,"(6, 39, -1)",Frontal Pole (74% of voxels)
36,-0.0337591997614924,0.0003999200159968,"(-2, -43, 60)",Superior Parietal Lobule (54% of voxels)
27,-0.0322872607919442,0.0001999600079984,"(21, 14, 26)",Precentral Gyrus (23% of voxels)
33,-0.0266681492215506,0.0001999600079984,"(4, -52, 42)",Angular Gyrus (37% of voxels)
23,-0.0246174942936603,0.0001999600079984,"(0, 17, 48)",Middle Frontal Gyrus (51% of voxels)
43,-0.0239815317303783,0.0103979204159168,"(1, -90, -8)",Occipital Pole (47% of voxels)
4,-0.0233728449457837,0.0051989602079584,"(1, -88, 0)",Occipital Pole (38% of voxels)
41,-0.0212796805940958,0.0007998400319936,"(1, -67, -28)",Occipital Fusiform Gyrus (1% of voxels)
11,-0.0205665943609303,0.0017996400719856,"(4, -61, -18)",Temporal Occipital Fusiform Cortex (30% of voxels)
24,-0.0195715921208939,0.0001999600079984,"(1, -71, 10)",Lingual Gyrus (31% of voxels)
19,-0.0184563944956827,0.0027994401119776,"(-4, -59, 28)","Lateral Occipital Cortex, superior division (35% of voxels)"
49,-0.0171128564579509,0.0003999200159968,"(-7, -10, -14)","Middle Temporal Gyrus, posterior division (30% of voxels)"
30,-0.0159311819264361,0.000999800039992,"(0, -3, 54)",Superior Frontal Gyrus (25% of voxels)
15,-0.0152934049450223,0.0075984803039392,"(4, -27, 31)","Supramarginal Gyrus, anterior division (37% of voxels)"
32,-0.0151560873697031,0.0001999600079984,"(0, 41, -7)",Paracingulate Gyrus (19% of voxels)
48,-0.0146296311190067,0.0005998800239952,"(1, -38, 44)","Supramarginal Gyrus, posterior division (21% of voxels)"
7,-0.0134955500189608,0.0013997200559888,,Brain-Stem (23% of voxels)
14,-0.0131437937687046,0.0001999600079984,"(2, -4, 13)",Frontal Orbital Cortex (3% of voxels)
34,-0.0128029784225672,0.0005998800239952,"(0, 11, -6)",Subcallosal Cortex (5% of voxels)
2,-0.0124221544464891,0.0001999600079984,"(-3, 45, 30)",Frontal Pole (39% of voxels)
0,-0.0122559196071886,0.001999600079984,"(2, 31, 25)","Cingulate Gyrus, anterior division (46% of voxels)"
45,-0.0116890860658759,0.0027994401119776,"(-48, 26, 10)","Inferior Frontal Gyrus, pars triangularis (32% of voxels)"
9,-0.0116179564094454,0.0249950009998,"(2, 9, 15)",Precentral Gyrus (44% of voxels)
6,-0.0114186655278412,0.002999400119976,"(1, -53, 40)",Precuneous Cortex (54% of voxels)
13,-0.0111529271431956,0.005998800239952,"(6, -17, -1)","Superior Temporal Gyrus, posterior division (49% of voxels)"
28,-0.010797300584188,0.0081983603279344,"(1, -24, -13)","Parahippocampal Gyrus, posterior division (10% of voxels)"
44,-0.010313983996594,0.0003999200159968,"(4, 42, 26)",Frontal Pole (70% of voxels)
18,-0.0095208954852348,0.0223955208958208,"(1, 21, 4)",Frontal Operculum Cortex (30% of voxels)
40,-0.0088007279659797,0.008998200359928,"(1, 1, 54)",Precentral Gyrus (45% of voxels)
47,-0.0081313778755319,0.011997600479904,"(40, -22, 56)",Postcentral Gyrus (56% of voxels)
16,-0.007515648437695,0.0415916816636672,"(3, -5, 5)",Insular Cortex (37% of voxels)
37,-0.0065615027408225,0.0045990801839632,"(6, 19, -9)",Frontal Orbital Cortex (39% of voxels)
35,-0.0064635431723156,0.0173965206958608,"(0, -24, 10)",Planum Temporale (26% of voxels)
