ROI,mean_diff_pos_minus_neg,p
0,-0.012255919607188637,0.001999600079984003
1,-0.05835992066722026,0.0001999600079984003
2,-0.012422154446489116,0.0001999600079984003
3,-0.006380754598983428,0.09498100379924015
4,-0.023372844945783705,0.005198960207958408
5,-0.0027306509302936627,0.7068586282743451
6,-0.011418665527841258,0.002999400119976005
7,-0.013495550018960828,0.0013997200559888023
8,-0.0024035515592373113,0.42131573685262946
9,-0.0116179564094454,0.02499500099980004
10,-0.05100775181341366,0.0001999600079984003
11,-0.020566594360930363,0.001799640071985603
12,-0.0032897779026262886,0.2385522895420916
13,-0.011152927143195678,0.00599880023995201
14,-0.01314379376870465,0.0001999600079984003
15,-0.01529340494502231,0.007598480303939212
16,-0.007515648437695069,0.041591681663667265
17,-0.0024999299233813077,0.2479504099180164
18,-0.009520895485234862,0.022395520895820836
19,-0.018456394495682732,0.0027994401119776045
20,-0.047168584889470594,0.0001999600079984003
21,-0.03839327124499557,0.0001999600079984003
22,-0.00440257752821584,0.15476904619076184
23,-0.024617494293660315,0.0001999600079984003
24,-0.01957159212089392,0.0001999600079984003
25,-0.03477694600837951,0.0001999600079984003
26,-0.005419849438676403,0.11477704459108179
27,-0.03228726079194428,0.0001999600079984003
28,-0.010797300584188062,0.008198360327934412
29,-0.0067607245939206384,0.0611877624475105
30,-0.015931181926436114,0.0009998000399920016
31,-0.04688168058650015,0.0003999200159968006
32,-0.015156087369703131,0.0001999600079984003
33,-0.026668149221550693,0.0001999600079984003
34,-0.012802978422567274,0.0005998800239952009
35,-0.006463543172315622,0.01739652069586083
36,-0.033759199761492456,0.0003999200159968006
37,-0.006561502740822549,0.004599080183963208
38,-0.06098822588828609,0.0001999600079984003
39,-0.0064555231143809,0.1311737652469506
40,-0.00880072796597971,0.008998200359928014
41,-0.021279680594095893,0.0007998400319936012
42,-0.04400305572932157,0.0001999600079984003
43,-0.0239815317303783,0.010397920415916816
44,-0.010313983996594032,0.0003999200159968006
45,-0.011689086065875903,0.0027994401119776045
46,-0.011652062060967874,0.14197160567886422
47,-0.008131377875531958,0.01199760047990402
48,-0.014629631119006717,0.0005998800239952009
49,-0.01711285645795092,0.0003999200159968006
